Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,"LGA, State, Country",Country,Attack_Type,Transmission Line,Tower Number(s),Agents,Chain of Effect
Chevron Flow Station Explosion in Delta State,11/08/2011,,Warri North,Delta,0,,,Sectarian Actor,,,,,,,,,,,,,,,,0,,,Bomb,Gun,,,,,,,,,,,Other,,http://www.tribune.com.ng/sat/index.php/news/4970-gunmen-blow-up-chevrons-oil-flow-station.html,http://www.deltans.com/gunmen-blow-up-chevrons-oil-flow-station/,,5.5167,5.75,"Warri North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Ex-Militants Blow up Agip Flow Station in Bayelsa,19/03/2012,Biseni/Idu,,Bayelsa,0,,,Sectarian Actor,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201203200723.html,,,5.1667,6.4167,", Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Ex-Militants Bomb Five Agip Oil Wells,01/04/2012,River Niger&Tailor Creek,Yenagoa,Bayelsa,0,,,Sectarian Actor,,,,,,,,0,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,Disgultled members of 3rd phase of Amnesty program,http://allafrica.com/stories/201204020762.html,http://saharareporters.com/news-page/ex-militants-bomb-agip-oil-wells-bayelsa,,4.9267,6.2676,"Yenagoa, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"Pipeline Vandals Kill Three NNPC Staff, Injure Others",09/09/2012,Arepo,Lagos,Lagos,3,,,,,,Robber,,,,,3,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201209100635.html,http://allafrica.com/stories/201209100666.html,,6.6333,3.45,"Lagos, Lagos, Nigeria",Nigeria,Oil_Gas,,,,
Assaults of PHCN Staff - Electricity Workers Give Wammako 48 Hours to Apologise,02/11/2012,,,Sokoto,0,,State Actor,,,,,,,,,,,,0,,,,,,,,,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201211020444.html,,,13.0667,5.2333,", Sokoto, Nigeria",Nigeria,Power,,,,
"Three Dead, Two Missing Over Oil Money, Leadership Tussle in Ugborodo",03/11/2012,Ugborodo,,Delta,3,,,Sectarian Actor,,,,,,,,,3,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201211250177.html,,,5.5333,5.2833,", Delta, Nigeria",Nigeria,Oil_Gas,,,,
Many Killed in Pipeline Blast as Vandals Fight Police,12/01/2013,Arepo Village,Obafemi-Owode,Ogun,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://allafrica.com/stories/201301140606.html,http://allafrica.com/stories/201301130047.html,,6.6333,3.45,"Obafemi-Owode, Ogun, Nigeria",Nigeria,Oil_Gas,,,,
Many Killed in Pipeline Blast as Vandals Fight Police,12/01/2013,Arepo Village,Obafemi-Owode,Ogun,50,,,,Other Armed Actor,,,,,,,,,50,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201301140606.html,http://allafrica.com/stories/201301130047.html,,6.6333,3.45,"Obafemi-Owode, Ogun, Nigeria",Nigeria,Oil_Gas,,,,
Four killed as Kogi community claims attack by Anambra community over oil wells,02/04/2013,Odeke,Ibaji,Kogi,7,,,Sectarian Actor,,,,,,,,,7,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/regional/127995-four-killed-as-kogi-community-claims-attack-by-anambra-community-over-oil-wells.html?utm_source=rss&utm_medium=rss&utm_campaign=four-killed-as-kogi-community-claims-attack-by-anambra-community-over-oil-wells,http://allafrica.com/stories/201304031132.html,,6.8333,6.9333,"Ibaji, Kogi, Nigeria",Nigeria,Oil_Gas,,,,
11 injured in Anambra-Kogi oil well clash,08/04/2013,Aguleri-Otu,,Anambra,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,,,,Other,,,,,,,,Other,,http://nationalmirroronline.net/new/11-injured-in-anambra-kogi-oil-well-clash/,http://allafrica.com/stories/201304100653.html,,6.3333,6.9167,", Anambra, Nigeria",Nigeria,Oil_Gas,,,,
